39,6.24499798,7.38064384,1.28E-03,3.58E-02
40,6.3245554,7.29091644,2.85E-03,5.34E-02
41,6.40312433,7.17899466,1.62E-03,4.02E-02
42,6.48074055,7.28019333,6.60E-04,2.57E-02
43,6.55743837,7.2744894,3.15E-03,5.61E-02
44,6.63324976,7.20836163,3.93E-04,1.98E-02
45,6.70820379,7.22197008,3.06E-03,5.53E-02
46,6.78233004,7.09053755,1.72E-03,4.15E-02
47,6.85565472,7.12321615,2.47E-04,1.57E-02
48,6.92820311,7.16306448,8.77E-04,2.96E-02
49,7,7.18272209,7.12E-04,2.67E-02
50,7.07106781,7.22369909,5.21E-04,2.28E-02
51,7.14142847,7.10095406,2.19E-03,4.68E-02
52,7.21110249,7.01727962,1.21E-03,3.48E-02
53,7.28010988,7.05553341,3.16E-04,1.78E-02
54,7.34846926,7.00939226,3.13E-04,1.77E-02
55,7.41619825,6.98271227,2.58E-04,1.61E-02
56,7.48331499,6.97447491,2.58E-05,5.08E-03
57,7.54983425,6.85298014,5.74E-03,7.58E-02
58,7.6157732,6.86004114,1.09E-03,3.30E-02
59,7.68114567,6.93837881,1.01E-03,3.18E-02
60,7.74596691,6.9805088,7.61E-04,2.76E-02
61,7.81024981,6.99126101,1.96E-04,1.40E-02
62,7.8740077,7.03674889,8.56E-04,2.93E-02
63,7.93725395,7.05544901,3.05E-04,1.75E-02
64,8,7.02157116,3.46E-04,1.86E-02
65,8.06225777,6.98405409,9.57E-04,3.09E-02
66,8.1240387,6.97145367,2.37E-04,1.54E-02
67,8.18535233,6.94114208,1.46E-03,3.82E-02
68,8.24621105,6.88498402,2.33E-04,1.53E-02
69,8.30662346,6.89466572,2.47E-04,1.57E-02
70,8.36660004,6.86172485,2.18E-04,1.48E-02
71,8.42614937,6.89940405,1.16E-03,3.40E-02
72,8.48528099,6.97908258,2.11E-04,1.45E-02
73,8.54400349,6.97848511,3.54E-04,1.88E-02
74,8.60232544,6.96205664,6.50E-05,8.06E-03
75,8.66025448,6.92381763,3.59E-04,1.90E-02
76,8.71779823,6.87157202,1.26E-03,3.56E-02
77,8.77496433,6.87003994,4.35E-04,2.09E-02
78,8.83176041,6.97353792,1.11E-03,3.33E-02
79,8.88819408,7.04736662,3.20E-04,1.79E-02
80,8.94427204,7.13882256,1.87E-03,4.33E-02
81,9,7.22153187,6.57E-04,2.56E-02
82,9.05538559,7.31700182,5.62E-04,2.37E-02
83,9.11043358,7.36503267,3.25E-04,1.80E-02
84,9.1651516,7.46073961,1.86E-03,4.31E-02
85,9.21954441,7.55230093,9.33E-04,3.05E-02
86,9.2736187,7.52184963,7.43E-04,2.73E-02
87,9.32737923,7.48352432,1.27E-03,3.56E-02
88,9.38083172,7.52200079,1.99E-04,1.41E-02
89,9.43398094,7.39973783,5.70E-03,7.55E-02
90,9.48683262,7.31713152,3.16E-04,1.78E-02
91,9.53939247,7.35739374,4.31E-04,2.08E-02
92,9.59166336,7.38718605,1.79E-04,1.34E-02
93,9.64365101,7.43335438,5.74E-04,2.40E-02
94,9.69536018,7.49271059,7.74E-05,8.80E-03
95,9.7467947,7.53560209,3.87E-04,1.97E-02
96,9.79795933,7.6116643,3.00E-04,1.73E-02
97,9.84885788,7.58928633,9.29E-04,3.05E-02
98,9.89949512,7.63401222,5.77E-05,7.59E-03
99,9.94987392,7.64750719,7.80E-04,2.79E-02
100,10,7.59403896,7.79E-04,2.79E-02
101,10.0498753,7.6017766,5.27E-04,2.30E-02
102,10.0995045,7.66567373,4.27E-04,2.07E-02
103,10.1488914,7.71259928,3.16E-04,1.78E-02
104,10.1980391,7.7653327,1.01E-04,1.00E-02
105,10.2469511,7.82838011,6.75E-04,2.60E-02
106,10.2956305,7.81790447,1.67E-03,4.09E-02
107,10.34408,7.85285759,1.24E-03,3.52E-02
108,10.3923044,7.92732191,4.48E-04,2.12E-02
109,10.4403067,7.96978331,3.11E-04,1.76E-02
110,10.4880886,8.01272011,1.35E-04,1.16E-02
